,Time (LST),12 hr Snow (in.),12 hr LPE (in.),start_time_dt,end_time_dt,start_time_UTC,mid_time_UTC,end_time_UTC,12_hr_snow_cm,12_hr_LPE_mm,Classification
0,2022-10-22 04:00:00,7.0,1.13,2022-10-22 04:00:00-06:00,2022-10-22 16:00:00-06:00,2022-10-22 10:00:00+00:00,2022-10-22 16:00:00+00:00,2022-10-22 22:00:00+00:00,17.78,28.701999999999995,2
1,2022-10-22 16:00:00,10.5,1.3600000000000003,2022-10-22 16:00:00-06:00,2022-10-23 04:00:00-06:00,2022-10-22 22:00:00+00:00,2022-10-23 04:00:00+00:00,2022-10-23 10:00:00+00:00,26.67,34.544000000000004,6
2,2022-10-23 04:00:00,5.999999999999999,0.57,2022-10-23 04:00:00-06:00,2022-10-23 16:00:00-06:00,2022-10-23 10:00:00+00:00,2022-10-23 16:00:00+00:00,2022-10-23 22:00:00+00:00,15.239999999999998,14.477999999999998,5
3,2022-11-02 04:00:00,10.0,1.06,2022-11-02 04:00:00-06:00,2022-11-02 16:00:00-06:00,2022-11-02 10:00:00+00:00,2022-11-02 16:00:00+00:00,2022-11-02 22:00:00+00:00,25.4,26.924,6
4,2022-11-05 16:00:00,5.999999999999999,0.7,2022-11-05 16:00:00-06:00,2022-11-06 03:00:00-07:00,2022-11-05 22:00:00+00:00,2022-11-06 04:00:00+00:00,2022-11-06 10:00:00+00:00,15.239999999999998,17.779999999999998,3
5,2022-11-08 04:00:00,8.0,1.32,2022-11-08 04:00:00-07:00,2022-11-08 16:00:00-07:00,2022-11-08 11:00:00+00:00,2022-11-08 17:00:00+00:00,2022-11-08 23:00:00+00:00,20.32,33.528,1
6,2022-11-08 16:00:00,14.0,2.09,2022-11-08 16:00:00-07:00,2022-11-09 04:00:00-07:00,2022-11-08 23:00:00+00:00,2022-11-09 05:00:00+00:00,2022-11-09 11:00:00+00:00,35.56,53.08599999999999,1
7,2022-11-09 04:00:00,8.5,0.84,2022-11-09 04:00:00-07:00,2022-11-09 16:00:00-07:00,2022-11-09 11:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-09 23:00:00+00:00,21.59,21.336,2
8,2022-11-28 16:00:00,9.0,0.52,2022-11-28 16:00:00-07:00,2022-11-29 04:00:00-07:00,2022-11-28 23:00:00+00:00,2022-11-29 05:00:00+00:00,2022-11-29 11:00:00+00:00,22.86,13.208,5
9,2022-12-01 16:00:00,9.0,0.95,2022-12-01 16:00:00-07:00,2022-12-02 04:00:00-07:00,2022-12-01 23:00:00+00:00,2022-12-02 05:00:00+00:00,2022-12-02 11:00:00+00:00,22.86,24.13,2
10,2022-12-04 16:00:00,9.0,0.83,2022-12-04 16:00:00-07:00,2022-12-05 04:00:00-07:00,2022-12-04 23:00:00+00:00,2022-12-05 05:00:00+00:00,2022-12-05 11:00:00+00:00,22.86,21.082,2
11,2022-12-11 16:00:00,15.0,1.14,2022-12-11 16:00:00-07:00,2022-12-12 04:00:00-07:00,2022-12-11 23:00:00+00:00,2022-12-12 05:00:00+00:00,2022-12-12 11:00:00+00:00,38.1,28.956,0
12,2022-12-12 16:00:00,8.0,0.25,2022-12-12 16:00:00-07:00,2022-12-13 04:00:00-07:00,2022-12-12 23:00:00+00:00,2022-12-13 05:00:00+00:00,2022-12-13 11:00:00+00:00,20.32,6.35,5
