,Time (LST),12 hr Snow (in.),12 hr LPE (in.),start_time_dt,end_time_dt,start_time_UTC,mid_time_UTC,end_time_UTC,12_hr_snow_cm,12_hr_LPE_mm,Classification,Comments,Objective_Classification
21,2023-10-11 16,7,1.05,2023-10-11 16:00:00-06:00,2023-10-12 04:00:00-06:00,2023-10-11 22:00:00+00:00,2023-10-12 04:00:00+00:00,2023-10-12 10:00:00+00:00,17.78,26.669999999999998,5,,
22,2023-10-12 04,4.5,0.65,2023-10-12 04:00:00-06:00,2023-10-12 16:00:00-06:00,2023-10-12 10:00:00+00:00,2023-10-12 16:00:00+00:00,2023-10-12 22:00:00+00:00,11.43,16.509999999999998,5,,
50,2023-10-26 04,7.5,0.9,2023-10-26 04:00:00-06:00,2023-10-26 16:00:00-06:00,2023-10-26 10:00:00+00:00,2023-10-26 16:00:00+00:00,2023-10-26 22:00:00+00:00,19.05,22.86,6,,
74,2023-11-07 04,8,0.73,2023-11-07 04:00:00-07:00,2023-11-07 16:00:00-07:00,2023-11-07 11:00:00+00:00,2023-11-07 17:00:00+00:00,2023-11-07 23:00:00+00:00,20.32,18.541999999999998,6,,2
92,2023-11-16 04,2.5,0.72,2023-11-16 04:00:00-07:00,2023-11-16 16:00:00-07:00,2023-11-16 11:00:00+00:00,2023-11-16 17:00:00+00:00,2023-11-16 23:00:00+00:00,6.35,18.287999999999997,3,,
98,2023-11-19 04,7.5,0.97,2023-11-19 04:00:00-07:00,2023-11-19 16:00:00-07:00,2023-11-19 11:00:00+00:00,2023-11-19 17:00:00+00:00,2023-11-19 23:00:00+00:00,19.05,24.637999999999998,0,"Not totally obvious. Low IVT, not clearly a post frontal environment, maybe a FROPA? Went with 0. Radar would help solve this one",
99,2023-11-19 16,6,0.85,2023-11-19 16:00:00-07:00,2023-11-20 04:00:00-07:00,2023-11-19 23:00:00+00:00,2023-11-20 05:00:00+00:00,2023-11-20 11:00:00+00:00,15.24,21.59,5,,
125,2023-12-02 16,12,1.58,2023-12-02 16:00:00-07:00,2023-12-03 04:00:00-07:00,2023-12-02 23:00:00+00:00,2023-12-03 05:00:00+00:00,2023-12-03 11:00:00+00:00,30.48,40.132,3,,3
126,2023-12-03 04,8,1.05,2023-12-03 04:00:00-07:00,2023-12-03 16:00:00-07:00,2023-12-03 11:00:00+00:00,2023-12-03 17:00:00+00:00,2023-12-03 23:00:00+00:00,20.32,26.669999999999998,4,Could also be WIVT - Objective classification will solve this rather than eyeballing,3
127,2023-12-03 16,6,1,2023-12-03 16:00:00-07:00,2023-12-04 04:00:00-07:00,2023-12-03 23:00:00+00:00,2023-12-04 05:00:00+00:00,2023-12-04 11:00:00+00:00,15.24,25.4,4,,4
136,2023-12-08 04,13,0.82,2023-12-08 04:00:00-07:00,2023-12-08 16:00:00-07:00,2023-12-08 11:00:00+00:00,2023-12-08 17:00:00+00:00,2023-12-08 23:00:00+00:00,33.02,20.827999999999996,5,,
201,2024-01-09 16,11,0.85,2024-01-09 16:00:00-07:00,2024-01-10 04:00:00-07:00,2024-01-09 23:00:00+00:00,2024-01-10 05:00:00+00:00,2024-01-10 11:00:00+00:00,27.94,21.59,5,,
203,2024-01-10 16,11,0.66,2024-01-10 16:00:00-07:00,2024-01-11 04:00:00-07:00,2024-01-10 23:00:00+00:00,2024-01-11 05:00:00+00:00,2024-01-11 11:00:00+00:00,27.94,16.764,6,,
207,2024-01-12 16,7,0.74,2024-01-12 16:00:00-07:00,2024-01-13 04:00:00-07:00,2024-01-12 23:00:00+00:00,2024-01-13 05:00:00+00:00,2024-01-13 11:00:00+00:00,17.78,18.796,3,"Neat one with high IVT a very cold environment. I suspect the higher IVT is due to strong winds at all levels (tight gradient in geopotentail heights and sea level pressures), rather than high specific humidity",
209,2024-01-13 16,18,1.86,2024-01-13 16:00:00-07:00,2024-01-14 04:00:00-07:00,2024-01-13 23:00:00+00:00,2024-01-14 05:00:00+00:00,2024-01-14 11:00:00+00:00,45.72,47.244,3,Maybe SWIVT but objective will solve it,2
210,2024-01-14 04,9,0.66,2024-01-14 04:00:00-07:00,2024-01-14 16:00:00-07:00,2024-01-14 11:00:00+00:00,2024-01-14 17:00:00+00:00,2024-01-14 23:00:00+00:00,22.86,16.764,5,,
211,2024-01-14 16,8,0.62,2024-01-14 16:00:00-07:00,2024-01-15 04:00:00-07:00,2024-01-14 23:00:00+00:00,2024-01-15 05:00:00+00:00,2024-01-15 11:00:00+00:00,20.32,15.748,4,IVT above 100 here,4
216,2024-01-17 04,10,1.41,2024-01-17 04:00:00-07:00,2024-01-17 16:00:00-07:00,2024-01-17 11:00:00+00:00,2024-01-17 17:00:00+00:00,2024-01-17 23:00:00+00:00,25.4,35.81399999999999,3,,3
247,2024-02-01 16,5,0.67,2024-02-01 16:00:00-07:00,2024-02-02 04:00:00-07:00,2024-02-01 23:00:00+00:00,2024-02-02 05:00:00+00:00,2024-02-02 11:00:00+00:00,12.7,17.018,1,,1
249,2024-02-02 16,7,0.63,2024-02-02 16:00:00-07:00,2024-02-03 04:00:00-07:00,2024-02-02 23:00:00+00:00,2024-02-03 05:00:00+00:00,2024-02-03 11:00:00+00:00,17.78,16.002,5,,
254,2024-02-05 04,5,0.75,2024-02-05 04:00:00-07:00,2024-02-05 16:00:00-07:00,2024-02-05 11:00:00+00:00,2024-02-05 17:00:00+00:00,2024-02-05 23:00:00+00:00,12.7,19.049999999999997,1,,1
257,2024-02-06 16,7,1,2024-02-06 16:00:00-07:00,2024-02-07 04:00:00-07:00,2024-02-06 23:00:00+00:00,2024-02-07 05:00:00+00:00,2024-02-07 11:00:00+00:00,17.78,25.4,1,,1
258,2024-02-07 04,13,0.86,2024-02-07 04:00:00-07:00,2024-02-07 16:00:00-07:00,2024-02-07 11:00:00+00:00,2024-02-07 17:00:00+00:00,2024-02-07 23:00:00+00:00,33.02,21.843999999999998,6,,
274,2024-02-15 04,10.5,0.9,2024-02-15 04:00:00-07:00,2024-02-15 16:00:00-07:00,2024-02-15 11:00:00+00:00,2024-02-15 17:00:00+00:00,2024-02-15 23:00:00+00:00,26.67,22.86,6,Could also make the case for a high IVT event. Radar would confirm If there is a frontal passage,
277,2024-02-16 16,8,0.56,2024-02-16 16:00:00-07:00,2024-02-17 04:00:00-07:00,2024-02-16 23:00:00+00:00,2024-02-17 05:00:00+00:00,2024-02-17 11:00:00+00:00,20.32,14.224,5,,
280,2024-02-18 04,7,0.64,2024-02-18 04:00:00-07:00,2024-02-18 16:00:00-07:00,2024-02-18 11:00:00+00:00,2024-02-18 17:00:00+00:00,2024-02-18 23:00:00+00:00,17.78,16.256,2,IVT above 100 in N utah,
283,2024-02-19 16,8,1.36,2024-02-19 16:00:00-07:00,2024-02-20 04:00:00-07:00,2024-02-19 23:00:00+00:00,2024-02-20 05:00:00+00:00,2024-02-20 11:00:00+00:00,20.32,34.544000000000004,2,,2
286,2024-02-21 04,7,0.95,2024-02-21 04:00:00-07:00,2024-02-21 16:00:00-07:00,2024-02-21 11:00:00+00:00,2024-02-21 17:00:00+00:00,2024-02-21 23:00:00+00:00,17.78,24.13,6,,
307,2024-03-02 16,9,0.65,2024-03-02 16:00:00-07:00,2024-03-03 04:00:00-07:00,2024-03-02 23:00:00+00:00,2024-03-03 05:00:00+00:00,2024-03-03 11:00:00+00:00,22.86,16.509999999999998,5,,
326,2024-03-12 04,6.5,0.59,2024-03-12 04:00:00-06:00,2024-03-12 16:00:00-06:00,2024-03-12 10:00:00+00:00,2024-03-12 16:00:00+00:00,2024-03-12 22:00:00+00:00,16.51,14.985999999999999,2,,
327,2024-03-12 16,9.5,1.03,2024-03-12 16:00:00-06:00,2024-03-13 04:00:00-06:00,2024-03-12 22:00:00+00:00,2024-03-13 04:00:00+00:00,2024-03-13 10:00:00+00:00,24.13,26.162,5,,
