,Time (LST),12 hr Snow (in.),12 hr LPE (in.),start_time_dt,end_time_dt,start_time_UTC,mid_time_UTC,end_time_UTC,12_hr_snow_cm,12_hr_LPE_mm,Classification,Comments,Objective_Classification
21,2023-10-11 16,7,1.05,2023-10-11 16:00:00-06:00,2023-10-12 04:00:00-06:00,2023-10-11 22:00:00+00:00,2023-10-12 04:00:00+00:00,2023-10-12 10:00:00+00:00,17.78,26.669999999999998,5,,
50,2023-10-26 04,7.5,0.9,2023-10-26 04:00:00-06:00,2023-10-26 16:00:00-06:00,2023-10-26 10:00:00+00:00,2023-10-26 16:00:00+00:00,2023-10-26 22:00:00+00:00,19.05,22.86,6,,
74,2023-11-07 04,8,0.73,2023-11-07 04:00:00-07:00,2023-11-07 16:00:00-07:00,2023-11-07 11:00:00+00:00,2023-11-07 17:00:00+00:00,2023-11-07 23:00:00+00:00,20.32,18.541999999999998,6,,2
98,2023-11-19 04,7.5,0.97,2023-11-19 04:00:00-07:00,2023-11-19 16:00:00-07:00,2023-11-19 11:00:00+00:00,2023-11-19 17:00:00+00:00,2023-11-19 23:00:00+00:00,19.05,24.637999999999998,0,,
99,2023-11-19 16,6,0.85,2023-11-19 16:00:00-07:00,2023-11-20 04:00:00-07:00,2023-11-19 23:00:00+00:00,2023-11-20 05:00:00+00:00,2023-11-20 11:00:00+00:00,15.24,21.59,5,,
107,2023-11-23 16,6,0.4,2023-11-23 16:00:00-07:00,2023-11-24 04:00:00-07:00,2023-11-23 23:00:00+00:00,2023-11-24 05:00:00+00:00,2023-11-24 11:00:00+00:00,15.24,10.16,8,,
122,2023-12-01 04,8.5,0.34,2023-12-01 04:00:00-07:00,2023-12-01 16:00:00-07:00,2023-12-01 11:00:00+00:00,2023-12-01 17:00:00+00:00,2023-12-01 23:00:00+00:00,21.59,8.636000000000001,0,"Low IVT environemnt, not obviously post frontal, and W flow. Doesnt really fit",
123,2023-12-01 16,8,0.4,2023-12-01 16:00:00-07:00,2023-12-02 04:00:00-07:00,2023-12-01 23:00:00+00:00,2023-12-02 05:00:00+00:00,2023-12-02 11:00:00+00:00,20.32,10.16,0,,
124,2023-12-02 04,8,0.51,2023-12-02 04:00:00-07:00,2023-12-02 16:00:00-07:00,2023-12-02 11:00:00+00:00,2023-12-02 17:00:00+00:00,2023-12-02 23:00:00+00:00,20.32,12.953999999999999,0,,
125,2023-12-02 16,12,1.58,2023-12-02 16:00:00-07:00,2023-12-03 04:00:00-07:00,2023-12-02 23:00:00+00:00,2023-12-03 05:00:00+00:00,2023-12-03 11:00:00+00:00,30.48,40.132,3,,3
126,2023-12-03 04,8,1.05,2023-12-03 04:00:00-07:00,2023-12-03 16:00:00-07:00,2023-12-03 11:00:00+00:00,2023-12-03 17:00:00+00:00,2023-12-03 23:00:00+00:00,20.32,26.669999999999998,4,,3
127,2023-12-03 16,6,1,2023-12-03 16:00:00-07:00,2023-12-04 04:00:00-07:00,2023-12-03 23:00:00+00:00,2023-12-04 05:00:00+00:00,2023-12-04 11:00:00+00:00,15.24,25.4,4,,4
136,2023-12-08 04,13,0.82,2023-12-08 04:00:00-07:00,2023-12-08 16:00:00-07:00,2023-12-08 11:00:00+00:00,2023-12-08 17:00:00+00:00,2023-12-08 23:00:00+00:00,33.02,20.827999999999996,5,,
137,2023-12-08 16,6,0.33,2023-12-08 16:00:00-07:00,2023-12-09 04:00:00-07:00,2023-12-08 23:00:00+00:00,2023-12-09 05:00:00+00:00,2023-12-09 11:00:00+00:00,15.24,8.382,5,,
192,2024-01-05 04,7.5,0.34,2024-01-05 04:00:00-07:00,2024-01-05 16:00:00-07:00,2024-01-05 11:00:00+00:00,2024-01-05 17:00:00+00:00,2024-01-05 23:00:00+00:00,19.05,8.636000000000001,5,ERA 5 barely picks up on precipitation and high SLR,
